MVMinusBV,Portfolio_Name,Issuer_Name,Asset_Name,Position_ID,Commitment,Outstanding,BookValue,BVPrice,MarketValue,MarkPrice_MarkPrice,Asset_AssetDetail_Type,MVParity,CurrencyType_Identifier,Quantity,Asset_Primary IDAssetID_Name
"734873.011760544","PennantPark Credit Opportunities Fund IV Aggregator, LP","A1 Garage Equity, LLC","Common Equity","1373629","1096519.02","1096519.02","1096519.02","1","1831392.03176054","1.6701872","138","1831392.03176054","USD","1096519.02","1680"
"8108.16320711654","PennantPark Credit Opportunities Fund IV Aggregator, LP","ACP Avenu Buyer, LLC","Initial Term Loan","1374456","2462500","2462500","2429766.83679288","98.6707344890511","2437875","99","4","24378.75","USD","2462500","LX217673"
"-4285.71429999999","PennantPark Credit Opportunities Fund IV Aggregator, LP","ACP Avenu Buyer, LLC","Revolving Loan","1374462","428571.43","1.39999999373686E-03","1.39999999373686E-03","100","-4285.7129","99","4","-42.857129","USD","428571.43","LX217675"
"-10670.4285143004","PennantPark Credit Opportunities Fund IV Aggregator, LP","ACP Avenu Buyer, LLC","Tranche 1 Delayed Draw Term Loan","1374451","1067042.85143003","1067042.8481","1067042.8481","100","1056372.4195857","99","4","10563.724195857","USD","1067042.85143003","LX217674"
"39937.48","PennantPark Credit Opportunities Fund IV Aggregator, LP","ACP Big Top Holdings, L.P. (DE) ","Common Equity","1375485","185954.42","185954.42","185954.42","0.961004754521964","225891.9","1.1674","138","225891.9","USD","193500","1959"
"59956.3832781613","PennantPark Credit Opportunities Fund IV Aggregator, LP","ACP Falcon Buyer, Inc.","Initial Term Loan","1374295","2539111.13109988","2539111.1311","2504545.85913284","98.6386861313869","2564502.242411","101","4","25645.02242411","USD","2539111.13109988","LX214995"
"8.78230821399484e-12","PennantPark Credit Opportunities Fund IV Aggregator, LP","ACP Falcon Buyer, Inc.","Revolving Loan","1374290","422222.22","0","0","100","8.78230821399484e-12","100","4","8.78230821399484e-14","USD","422222.22","LX214996"
"3.33102434524335e-11","PennantPark Credit Opportunities Fund IV Aggregator, LP","Adweek, LLC","First Lien - DDTL - Initial","1376239","1600000","0","0","100","3.33102434524335e-11","100","4","3.33102434524335e-13","USD","1600000","LX242222"
"102136.986301369","PennantPark Credit Opportunities Fund IV Aggregator, LP","Adweek, LLC","First Lien - Term Loan - Initial","1376237","8000000","8000000","7897863.01369863","98.7232876712329","8000000","100","4","80000","USD","8000000","LX242221"
"0","PennantPark Credit Opportunities Fund IV Aggregator, LP","Aechelon InvestCo LP","Common - Unfunded","1376902","0","0","0","0","0","0","138","0","USD","7163.75","2261"
"1422947.295","PennantPark Credit Opportunities Fund IV Aggregator, LP","Aechelon InvestCo LP","Common Equity","1376898","641025","641025","641025","100","2063972.295","321.98","138","2063972.295","USD","6410.25","2260"
"1.38697942020372e-11","PennantPark Credit Opportunities Fund IV Aggregator, LP","Aechelon Technology Inc.","First Lien - Revolver - Initial","1376791","665200","0","0","100","1.38697942020372e-11","100","4","1.38697942020372e-13","USD","665200","LX244434"
"125002.919329492","PennantPark Credit Opportunities Fund IV Aggregator, LP","Aechelon Technology Inc.","First Lien - Term Loan - Initial","1376787","9700000","9700000","9574997.08067051","98.7113101100053","9700000","100","4","97000","USD","9700000","LX244433"
"-56695.9175885","PennantPark Credit Opportunities Fund IV Aggregator, LP","AFC Acquisitions, Inc.","Series F-2 Preferred Stock","1375180","325723.1875605","325723.1875605","325723.1875605","1530.09","269027.269972","1263.76","138","269027.269972","USD","212.87845","1866"
"-2047.837","PennantPark Credit Opportunities Fund IV Aggregator, LP","AFC Acquisitions, Inc.","Series G-2 Preferred Stock","1375884","8005.322","8005.322","8005.322","1703.26","5957.485","1267.55","138","5957.485","USD","4.7","1984"
"-1848.4545618","PennantPark Credit Opportunities Fund IV Aggregator, LP","AFC Acquisitions, Inc.","Series H-2 Preferred Stock","1376517","5261.678037","5261.678037","5261.678037","1965.3","3413.2234752","1274.88","138","3413.2234752","USD","2.67729","BDC4347B"
